Model,sSpec number,Cores,Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD)
Core i7-4700MQ,SR15H (C0),4,2.4 GHz,8/8/9/10[Note 2],4 × 256 KB,6 MB,HD Graphics 4600,400–1150 MHz,47 W,Socket G3,DMI 2.0,June 2013,CW8064701470702,$383
Core i7-4702MQ,SR15J (C0),4,2.2 GHz,7/7/9/10,4 × 256 KB,6 MB,HD Graphics 4600,400–1150 MHz,37 W,Socket G3,DMI 2.0,June 2013,CW8064701470802,$383
Core i7-4710MQ,SR1PQ (C0),4,2.5 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4600,400–1150 MHz,47 W,Socket G3,DMI 2.0,April 2014,CW8064701473404,$378
Core i7-4712MQ,SR1PS (C0),4,2.3 GHz,7/7/9/10,4 × 256 KB,6 MB,HD Graphics 4600,400–1150 MHz,37 W,Socket G3,DMI 2.0,April 2014,CW8064701473804,$378
Core i7-4800MQ,SR15L (C0),4,2.7 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4600,400–1300 MHz,47 W,Socket G3,DMI 2.0,June 2013,CW8064701471001 BX80647I74800MQ,$378
Core i7-4810MQ,SR1PV (C0),4,2.8 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4600,400–1300 MHz,47 W,Socket G3,DMI 2.0,February 2014,CW8064701474405 BX80647I74810MQ,$378
Core i7-4900MQ,SR15K (C0),4,2.8 GHz,8/8/9/10,4 × 256 KB,8 MB,HD Graphics 4600,400–1300 MHz,47 W,Socket G3,DMI 2.0,June 2013,CW8064701470901 BX80647I74900MQ,$568
Core i7-4910MQ,SR1PT (C0),4,2.9 GHz,8/8/9/10,4 × 256 KB,8 MB,HD Graphics 4600,400–1300 MHz,47 W,Socket G3,DMI 2.0,February 2014,CW8064701474105 BX80647I74910MQ,$568
Core i7-4930MX,SR15M (C0),4,3 GHz,7/7/8/9,4 × 256 KB,8 MB,HD Graphics 4600,400–1350 MHz,57 W,Socket G3,DMI 2.0,June 2013,CW8064701471101,$1096
Core i7-4940MX,SR1PP (C0),4,3.1 GHz,7/7/8/9,4 × 256 KB,8 MB,HD Graphics 4600,400–1350 MHz,57 W,Socket G3,DMI 2.0,February 2014,CW8064701474604,$1096
