Model,sSpec number,Cores (threads),Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD),Unnamed: 15,Unnamed: 16
Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power
Core i7-8750H,SR3YY (U0),6 (12),2.2 GHz,17/17/18/18/19/19,6 × 256 KB,9 MB,UHD Graphics 630,350–1100 MHz,45 W,BGA 1440,DMI 3.0,April 2018,CL8068403359524,$395,,
Core i7-8850H,SR3YZ (U0),6 (12),2.6 GHz,14/15/15/16/16/17,6 × 256 KB,9 MB,UHD Graphics 630,350–1150 MHz,45 W,BGA 1440,DMI 3.0,April 2018,CL8068403359725,$395,,
Core i7-9750H,SRF6U (U0) SRFCP (R0),6 (12),2.6 GHz,14/15/16/17/18/19,6 × 256 KB,12 MB,UHD Graphics 630,350–1150 MHz,45 W,BGA 1440,DMI 3.0,April 2019,CL8068404121817 CL8068404069418,$395,,
Core i7-9750HF,SRG1T (R0),6 (12),2.6 GHz,14/15/16/17/18/19,6 × 256 KB,12 MB,—,—,45 W,BGA 1440,DMI 3.0,April 2019,CL8068404069421,$395,,
Core i7-9850H,SRFCN (R0),6 (12),2.6 GHz,15/16/17/18/19/20,6 × 256 KB,12 MB,UHD Graphics 630,350–1150 MHz,45 W,BGA 1440,DMI 3.0,April 2019,CL8068404069311,$395,,
"Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded"
Core i7-9850HE,SRFED (U0),6 (12),2.7 GHz,4.4 GHz,6 × 256 KB,9 MB,UHD Graphics 630,350–1150 MHz,45 W,BGA 1440,DMI 3.0,June 2019,CL8068404164800,$395,,
"Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded"
Core i7-9850HL,SRFEH (U0),6 (12),1.9 GHz,4.1 GHz,6 × 256 KB,9 MB,UHD Graphics 630,350–1150 MHz,25 W,BGA 1440,DMI 3.0,June 2019,CL8068404165200,$395,,
