Model number,P-core (performance),P-core (performance),P-core (performance),P-core (performance),E-core (efficiency),E-core (efficiency),E-core (efficiency),E-core (efficiency),L3 cache,GPU model,GPU frequency,Power,Power,Socket,I/O bus,Release date,sSpec number,Part number(s),Release price (USD)
Model number,Cores (threads),Freq.,Turbo,L2 cache,Cores (threads),Freq.,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,Base,Max Turbo,Socket,I/O bus,Release date,sSpec number,Part number(s),Release price (USD)
Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3),Standard power (UP3)
Core i7-1255U,2 (4),1.7 GHz,4.7 GHz,2 × 1.25 MB,8 (8),1.2 GHz,3.5 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–1250 MHz,15 W,55 W,BGA 1744,DMI 4.0 ×8,February 2022,SRLFQ (R0) SRLFR (R0),FJ8071504826802 FJ8071504826803,$426
Core i7-1265U,2 (4),1.8 GHz,4.8 GHz,2 × 1.25 MB,8 (8),1.3 GHz,3.6 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–1250 MHz,15 W,55 W,BGA 1744,DMI 4.0 ×8,February 2022,SRLFS (R0) SRLWY (R0),FJ8071504826901,$426
Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4),Low power (UP4)
Core i7-1250U,2 (4),1.1 GHz,4.7 GHz,2 × 1.25 MB,8 (8),0.8 GHz,3.5 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–950 MHz,9 W,29 W,BGA 1781,DMI 4.0 ×8,February 2022,SRLWS (R0),FJ8071505017000,$426
Core i7-1260U,2 (4),1.1 GHz,4.7 GHz,2 × 1.25 MB,8 (8),0.8 GHz,3.5 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–950 MHz,9 W,29 W,BGA 1781,DMI 4.0 ×8,February 2022,,,
"Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded","Standard power (UP3), embedded"
Core i7-1265UE,2 (4),,4.7 GHz,2 × 1.25 MB,8 (8),,3.5 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–1250 MHz,15 W,55 W,BGA 1744,DMI 4.0 ×8,February 2022,SRLZH (R0),FJ8071504826504,$472
